id,__str__,link_detail_backend,metadata,nome_completo,nome_parlamentar,sexo,numero_gab_parlamentar,telefone,telefone_celular,endereco_web,profissao,email,locais_atuacao,ativo,biografia,fotografia,cropping,nivel_instrucao
49,Aglais,/parlamentar/49,{},Maria Aglais Maia de Aquino,Aglais,F,,,,,,,,False,,,,
46,Aiton Luiz,/parlamentar/46,{},Aiton Luiz Assunção Cavalcante,Aiton Luiz,M,,,,,,,,False,,,,
77,Alderlan Oliveira,/parlamentar/77,{},Francisco Alderlan Alves de Oliveira,Alderlan Oliveira,M,,,,,Advogado,,,True,,http://sapl.aquiraz.ce.leg.br/media/sapl/public/parlamentar/77/alderlan.jpg,"0,32,161,193",7.0
13,Alex Lemos,/parlamentar/13,{},Alexson Moreira Lemos,Alex Lemos,M,,,,,Estudante,,,True,,http://sapl.aquiraz.ce.leg.br/media/sapl/public/parlamentar/13/design_sem_nome.png,"0,0,668,669",8.0
60,Ambrózio Alfredo,/parlamentar/60,{},Ambrózio Alfredo Benício das Neves,Ambrózio Alfredo,M,,,,,,,,False,,,,
42,Ambrózio Filho,/parlamentar/42,{},Ambrózio Alfredo Bernardo Filho,Ambrózio Filho,M,,,,,,,,False,,,,
38,Angelo,/parlamentar/38,{},Francisco Ângelo Maia de Aquiraz,Angelo,M,,,,,,,,False,,http://sapl.aquiraz.ce.leg.br/media/sapl/public/parlamentar/38/angelo.png,"0,14,59,73",
73,Arimatea,/parlamentar/73,{},José Arimatea da Silva,Arimatea,M,,,,,,,,False,,,,
48,Ayda Maria,/parlamentar/48,{},Ayda Maria Soares de Oliveira,Ayda Maria,F,,,,,,,,False,,,,
9,Babá,/parlamentar/9,{},José Ribamar Lima,Babá,M,,,,,Vereador,,,True,,http://sapl.aquiraz.ce.leg.br/media/sapl/public/parlamentar/9/baba_aeGFZTG.jpg,"154,94,876,815",4.0
36,Cachaça,/parlamentar/36,{},Edvaldo Lopes de Queiroz,Cachaça,M,,,,,Comerciante,,,False,,http://sapl.aquiraz.ce.leg.br/media/sapl/public/parlamentar/36/cachaca.jpg,"0,122,311,433",
64,Carlos Alberto,/parlamentar/64,{},Carlos Alberto Ferreira da Costa,Carlos Alberto,M,,,,,,,,False,,,,
5,Carlos Cesar,/parlamentar/5,{},Carlos Cesar Gomes,Carlos Cesar,M,,,,,Motorista,,,False,,http://sapl.aquiraz.ce.leg.br/media/sapl/public/parlamentar/5/carlos_cesar_2.jpg,"213,45,800,631",5.0
44,Cavalcante,/parlamentar/44,{},Francisco José Cavalcante de Sousa,Cavalcante,M,,,,,,,,False,,,,
6,Chico Carlos,/parlamentar/6,{},Francisco Carlos de Freitas Cavalcante,Chico Carlos,M,,,,,Vereador,,,True,,http://sapl.aquiraz.ce.leg.br/media/sapl/public/parlamentar/6/chico_carlos_2.jpg,"38,53,590,605",5.0
7,Claudio Diógenes,/parlamentar/7,{},Claudio Sanford Diógenes,Claudio Diógenes,M,,,,,Comerciante,,,False,,http://sapl.aquiraz.ce.leg.br/media/sapl/public/parlamentar/7/claudio_diogenes.png,"41,18,317,294",7.0
27,Conceição Callou,/parlamentar/27,{},Maria da Conceição Ribeiro Callou,Conceição Callou,F,,,,,,,,False,,http://sapl.aquiraz.ce.leg.br/media/sapl/public/parlamentar/27/conceicao_callou.jpg,"0,0,194,194",
30,Daniel Markan,/parlamentar/30,{},Daniel Menezes Markan,Daniel Markan,M,,,,,,,,False,,,,
70,Danilo Cardoso,/parlamentar/70,{},Danilo Alves Cardoso,Danilo Cardoso,M,,,,,,,,False,,,,
18,Diego Queiroz,/parlamentar/18,{},Diego Câmara Queiroz,Diego Queiroz,M,,,,,,,,True,,http://sapl.aquiraz.ce.leg.br/media/sapl/public/parlamentar/18/image00002.jpeg,"712,148,2527,1962",5.0
22,Dr. Cláudio,/parlamentar/22,{},Cláudio José Fernandes Eufrásio,Dr. Cláudio,M,,,,,Médico,,,False,,http://sapl.aquiraz.ce.leg.br/media/sapl/public/parlamentar/22/claudio_eufrasio.jpg,"0,8,192,200",
61,Durval Queiroz,/parlamentar/61,{},Durval Lopes de Queiroz,Durval Queiroz,M,,,,,,,,False,,,,
4,Fernando do Picão,/parlamentar/4,{},Luiz Fernando Moreira Câmara,Fernando do Picão,M,,,,,Outros,,,True,,http://sapl.aquiraz.ce.leg.br/media/sapl/public/parlamentar/4/fernando_laCbf9H.jpg,"0,0,914,913",4.0
35,Filgueiras,/parlamentar/35,{},José Filgueiras de Lima,Filgueiras,M,,,,,Eletricista,,,False,,http://sapl.aquiraz.ce.leg.br/media/sapl/public/parlamentar/35/filgueiras-70000.jpg,"0,7,161,168",
72,Francisco Gomes da Silva,/parlamentar/72,{},Francisco Gomes da Silva,Francisco Gomes da Silva,M,,,,,,,,False,,,,
59,Francisco de Assis,/parlamentar/59,{},Francisco de Assis de Sousa,Francisco de Assis,M,,,,,,,,False,,,,
65,Gilberto Sales,/parlamentar/65,{},Gilberto Gomes de Sousa Sales,Gilberto Sales,M,,,,,,,,False,,,,
19,Giselle Façanha,/parlamentar/19,{},Giselle Maria Façanha da Mata Rodrigues,Giselle Façanha,F,,,,,,,,True,,http://sapl.aquiraz.ce.leg.br/media/sapl/public/parlamentar/19/imagem_do_whatsapp_de_2023-03-27_as_14.03.17.jpg,"134,112,902,880",7.0
45,Haroldo Pontes,/parlamentar/45,{},Haroldo Jorge de Carvalho Pontes,Haroldo Pontes,M,,,,,,,,False,,,,
28,Homero Cals,/parlamentar/28,{},Homero Cals Silva,Homero Cals,M,,,,,,,,False,,http://sapl.aquiraz.ce.leg.br/media/sapl/public/parlamentar/28/homero.jpg,"0,3,222,225",7.0
53,Ilde,/parlamentar/53,{},Ilde de Freitas Pires,Ilde,M,,,,,,,,False,,,,
29,Ivete Dantas,/parlamentar/29,{},Ivete Silva Dantas,Ivete Dantas,F,,,,,,,,False,,http://sapl.aquiraz.ce.leg.br/media/sapl/public/parlamentar/29/ivete_dantas.jpg,"0,5,194,199",
3,Jair Silva,/parlamentar/3,{},Jair José da Silva,Jair Silva,M,,,,,Servidor Público Municipal,,,False,,http://sapl.aquiraz.ce.leg.br/media/sapl/public/parlamentar/3/jair_2_zBXPQnK.jpg,"161,49,800,687",5.0
17,Jonas Assunção,/parlamentar/17,{},Jonas Assunção de Aquino Neto,Jonas Assunção,M,,,,,Advogado,,,False,,http://sapl.aquiraz.ce.leg.br/media/sapl/public/parlamentar/17/jonas.png,"35,3,302,269",7.0
8,Josimar de Castro,/parlamentar/8,{},Josimar Bandeira de Castro,Josimar de Castro,M,,,,,Advogado,,,False,,http://sapl.aquiraz.ce.leg.br/media/sapl/public/parlamentar/8/josimar.jpg,"0,9,161,170",5.0
11,José Airton Assunção,/parlamentar/11,{},José Airton Assunção,José Airton Assunção,M,,,,,Servidor Público Municipal,,,True,,http://sapl.aquiraz.ce.leg.br/media/sapl/public/parlamentar/11/airton_2.jpg,"164,49,800,683",7.0
32,José Orlando,/parlamentar/32,{},José Orlando de Freitas Lima,José Orlando,M,,,,,,,,False,,http://sapl.aquiraz.ce.leg.br/media/sapl/public/parlamentar/32/jose_orlando.jpg,"608,224,1099,715",
58,José Wilson,/parlamentar/58,{},José Wilson Dantas da Silva,José Wilson,M,,,,,,,,False,,,,
14,João Paulo Dantas,/parlamentar/14,{},João Paulo Silva Dantas,João Paulo Dantas,M,,,,,Empresário,,,True,,http://sapl.aquiraz.ce.leg.br/media/sapl/public/parlamentar/14/joao_paulo_2_kEsuOhN.jpg,"179,49,800,668",5.0
43,João da Guiomar,/parlamentar/43,{},João Almeida Dantas,João da Guiomar,M,,,,,,,,False,,,,
67,Luiz Gomes,/parlamentar/67,{},Luiz Gomes Falcão,Luiz Gomes,M,,,,,,,,False,,,,
63,Luiz Simião,/parlamentar/63,{},Luiz Simião da Costa,Luiz Simião,M,,,,,,,,False,,,,
